Instance, D-Wave p(s), Classical SA p(s)
Benchmarking--108q--15us--02-Aug-2012-17-44-12.txt, 0.236542, 0.95
Benchmarking--108q--15us--02-Aug-2012-17-44-21.txt, 0.242141, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-44-30.txt, 1.000000, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-44-38.txt, 0.374500, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-44-47.txt, 0.970867, 0.98
Benchmarking--108q--15us--02-Aug-2012-17-44-56.txt, 0.166604, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-45-04.txt, 0.978495, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-45-13.txt, 0.574005, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-45-21.txt, 0.710999, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-45-30.txt, 0.023405, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-45-39.txt, 0.724691, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-45-47.txt, 0.720257, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-45-56.txt, 0.764716, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-46-05.txt, 0.025121, 0.84
Benchmarking--108q--15us--02-Aug-2012-17-46-13.txt, 0.929369, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-46-22.txt, 0.928097, 1.00
